Valores completos da instância analisada:

   1. dl_bitrate_1                  : 13419300
   2. ul_bitrate_1                  : 57683
   3. cell_x_dl_retx_1              : -1
   4. cell_x_dl_tx_1                : -1
   5. cell_x_ul_retx_1              : -1
   6. cell_x_ul_tx_1                : -1
   7. ul_total_bytes_non_incr_1     : 420
   8. dl_total_bytes_non_incr_1     : 8524600
   9. dl_bitrate_2                  : 11156503
  10. ul_bitrate_2                  : 57233
  11. cell_x_dl_retx_2              : -1
  12. cell_x_dl_tx_2                : -1
  13. cell_x_ul_retx_2              : -1
  14. cell_x_ul_tx_2                : -1
  15. ul_total_bytes_non_incr_2     : 420
  16. dl_total_bytes_non_incr_2     : 7080143
  17. dl_bitrate_3                  : 13442130
  18. ul_bitrate_3                  : 58735
  19. cell_x_dl_retx_3              : -1
  20. cell_x_dl_tx_3                : -1
  21. cell_x_ul_retx_3              : -1
  22. cell_x_ul_tx_3                : -1
  23. ul_total_bytes_non_incr_3     : 420
  24. dl_total_bytes_non_incr_3     : 8411631
  25. dl_bitrate_4                  : 14461731
  26. ul_bitrate_4                  : 57222
  27. cell_x_dl_retx_4              : -1
  28. cell_x_dl_tx_4                : -1
  29. cell_x_ul_retx_4              : -1
  30. cell_x_ul_tx_4                : -1
  31. ul_total_bytes_non_incr_4     : 420
  32. dl_total_bytes_non_incr_4     : 9191346
  33. dl_bitrate_5                  : 13245748
  34. ul_bitrate_5                  : 57945
  35. cell_x_dl_retx_5              : -1
  36. cell_x_dl_tx_5                : -1
  37. cell_x_ul_retx_5              : -1
  38. cell_x_ul_tx_5                : -1
  39. ul_total_bytes_non_incr_5     : 504
  40. dl_total_bytes_non_incr_5     : 8004737
  41. dl_bitrate_6                  : 12201402
  42. ul_bitrate_6                  : 58243
  43. cell_x_dl_retx_6              : -1
  44. cell_x_dl_tx_6                : -1
  45. cell_x_ul_retx_6              : -1
  46. cell_x_ul_tx_6                : -1
  47. ul_total_bytes_non_incr_6     : 420
  48. dl_total_bytes_non_incr_6     : 8128193
  49. dl_bitrate_7                  : 13253582
  50. ul_bitrate_7                  : 58506
  51. cell_x_dl_retx_7              : -1
  52. cell_x_dl_tx_7                : -1
  53. cell_x_ul_retx_7              : -1
  54. cell_x_ul_tx_7                : -1
  55. ul_total_bytes_non_incr_7     : 420
  56. dl_total_bytes_non_incr_7     : 8308326
  57. dl_bitrate_8                  : 13303750
  58. ul_bitrate_8                  : 58654
  59. cell_x_dl_retx_8              : -1
  60. cell_x_dl_tx_8                : -1
  61. cell_x_ul_retx_8              : -1
  62. cell_x_ul_tx_8                : -1
  63. ul_total_bytes_non_incr_8     : 420
  64. dl_total_bytes_non_incr_8     : 8445318
  65. dl_bitrate_9                  : 11295049
  66. ul_bitrate_9                  : 57232
  67. cell_x_dl_retx_9              : -1
  68. cell_x_dl_tx_9                : -1
  69. cell_x_ul_retx_9              : -1
  70. cell_x_ul_tx_9                : -1
  71. ul_total_bytes_non_incr_9     : 420
  72. dl_total_bytes_non_incr_9     : 7168444
  73. dl_bitrate_10                 : 15115774
  74. ul_bitrate_10                 : 58110
