Feature,Feature Value,SHAP Value,Absolute Value,Category
dl_bitrate_92,13838695.0,-205787.37510785687,205787.37510785687,dl_bitrate
dl_bitrate_29,13504542.0,-150066.88363628217,150066.88363628217,dl_bitrate
dl_bitrate_75,13850643.0,-124226.39984618025,124226.39984618025,dl_bitrate
dl_bitrate_27,11380053.0,-111990.31308222492,111990.31308222492,dl_bitrate
dl_bitrate_87,14900337.0,-110254.31542402116,110254.31542402116,dl_bitrate
dl_bitrate_68,13220274.0,-78514.74335372954,78514.74335372954,dl_bitrate
dl_bitrate_112,14161386.0,-50494.45988992497,50494.45988992497,dl_bitrate
dl_total_bytes_non_incr_34,7105459.0,-44466.153899641526,44466.153899641526,dl_total_bytes_non_incr
dl_bitrate_73,15132694.0,-36912.078881130365,36912.078881130365,dl_bitrate
dl_bitrate_94,15520622.0,-28316.40437234973,28316.40437234973,dl_bitrate
dl_bitrate_1,13419300.0,0.0,0.0,dl_bitrate
ul_bitrate_1,57683.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_1,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_1,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_1,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_1,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_1,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_1,8524600.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_2,11156503.0,0.0,0.0,dl_bitrate
ul_bitrate_2,57233.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_2,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_2,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_2,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_2,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_2,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_2,7080143.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_3,13442130.0,0.0,0.0,dl_bitrate
ul_bitrate_3,58735.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_3,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_3,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_3,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_3,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_3,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_3,8411631.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_4,14461731.0,0.0,0.0,dl_bitrate
ul_bitrate_4,57222.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_4,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_4,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_4,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_4,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_4,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_4,9191346.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_5,13245748.0,0.0,0.0,dl_bitrate
ul_bitrate_5,57945.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_5,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_5,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_5,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_5,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_5,504.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_5,8004737.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_6,12201402.0,0.0,0.0,dl_bitrate
ul_bitrate_6,58243.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_6,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_6,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_6,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_6,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_6,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_6,8128193.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_7,13253582.0,0.0,0.0,dl_bitrate
ul_bitrate_7,58506.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_7,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_7,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_7,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_7,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_7,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_7,8308326.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_8,13303750.0,0.0,0.0,dl_bitrate
ul_bitrate_8,58654.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_8,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_8,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_8,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_8,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_8,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_8,8445318.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_9,11295049.0,0.0,0.0,dl_bitrate
ul_bitrate_9,57232.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_9,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_9,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_9,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_9,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_9,420.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_9,7168444.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_10,15115774.0,0.0,0.0,dl_bitrate
ul_bitrate_10,58110.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_10,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_10,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_10,-1.0,0.0,0.0,cell_x_ul_retx
